Reference,Date,Month,Year,P.inches,P.cm,Rin,Gwin,ET,Q,I,Site
Harper 2011,12/1/2008,Dec,2008,0.93,2.36,36.3,3.92,19.74,68.4,0,Club II
Harper 2011,1/1/2009,Jan,2009,1.14,2.9,14.12,3.92,16.29,21.5,0,Club II
Harper 2011,2/1/2009,Feb,2009,0.66,1.68,12.67,3.54,21.32,20,0,Club II
Harper 2011,3/1/2009,Mar,2009,0.7,1.78,7.23,3.92,27.66,0,0,Club II
Harper 2011,4/1/2009,Apr,2009,1.3,3.3,7.06,3.8,34.66,0,0,Club II
Harper 2011,5/1/2009,May,2009,19.98,50.7,203.07,3.92,44.33,291,0,Club II
Harper 2011,6/1/2009,Jun,2009,9.16,23.3,133.95,3.8,48.22,289,0,Club II
Harper 2011,7/1/2009,Jul,2009,5.74,14.6,92.99,3.92,27.99,149,0,Club II
Harper 2011,8/1/2009,Aug,2009,2.62,6.65,49.47,3.92,31.46,102,0,Club II
Harper 2011,9/1/2009,Sep,2009,3.19,8.1,42.43,3.8,29.86,53,0,Club II
Harper 2011,10/1/2009,Oct,2009,0.5,1.27,28.05,3.92,22.65,4.49,0,Club II
Harper 2011,11/1/2009,Nov,2009,0.87,2.21,0,3.8,20.36,0,0,Club II
Harper 2011,12/1/2009,Dec,2009,4.44,11.3,33.45,3.92,19.74,28.3,0,Club II
Harper 2011,1/1/2010,Jan,2010,2.35,5.97,44.96,3.92,26.86,60.4,0,Club II
Harper 2011,2/1/2010,Feb,2010,6.41,16.3,59.46,3.54,19.91,110,0,Club II
Harper 2011,3/1/2010,Mar,2010,9.26,23.5,137.96,3.92,34.38,231,0,Club II
Harper 2011,4/1/2010,Apr,2010,0.6,1.52,67.36,3.8,24.6,141,0,Club II
Harper 2011,5/1/2010,May,2010,1.77,4.5,29.08,3.92,39.63,45,0,Club II
Harper 2011,6/1/2010,Jun,2010,7.6,19.3,20.79,3.8,44.72,14.9,0,Club II
Harper 2011,7/1/2010,Jul,2010,4.38,11.1,25.15,3.92,37.23,42.3,0,Club II
Harper 2011,8/1/2010,Aug,2010,5.3,13.5,33.45,3.92,30.41,22.2,0,Club II
Harper 2011,9/1/2010,Sep,2010,4.81,12.2,12.1,3.8,36,15.9,0,Club II
Harper 2011,10/1/2010,Oct,2010,0.03,0.08,3.08,3.92,31.16,1.77,0,Club II
Harper 2011,11/1/2010,Nov,2010,1.57,3.99,0,3.8,28.2,0,0,Club II
Harper 2010,4/1/2009,Apr,2009,0.91,2.31,5.06,4.43,5.06,5.29,0,Elder Creek
Harper 2010,5/1/2009,May,2009,13.29,33.8,743.4,0,3.29,744.2,8.48,Elder Creek
Harper 2010,6/1/2009,Jun,2009,4.66,11.8,51.1,3.32,6.34,52.49,0,Elder Creek
Harper 2010,7/1/2009,Jul,2009,5.25,13.3,20.7,1.86,6.2,21.33,0,Elder Creek
Harper 2010,8/1/2009,Aug,2009,9.88,25.1,253,0,3.44,254.8,4.1,Elder Creek
Harper 2010,9/1/2009,Sep,2009,0.7,1.78,16.2,4.04,4.14,16.76,0,Elder Creek
Harper 2010,10/1/2009,Oct,2009,0.21,0.53,6.82,3.22,3.31,6.93,0,Elder Creek
Harper 2010,11/1/2009,Nov,2009,0.78,1.98,8.76,2.37,2.97,8.9,0,Elder Creek
Harper 2010,12/1/2009,Dec,2009,3.55,9.02,22.5,0,2.31,22.89,0.66,Elder Creek
Harper 2010,1/1/2010,Jan,2010,2.95,7.49,15.3,0.01,2.36,15.74,0,Elder Creek
Harper 2010,2/1/2010,Feb,2010,3.09,7.85,22.3,2.79,4.68,23.33,0,Elder Creek
Harper 2010,3/1/2010,Mar,2010,5.78,14.7,27.2,0.94,5.76,27.85,0,Elder Creek
Harper 2010,1/1/2009,January,2009,0.17,0.43,3.72,0,0.7,0,5.7,Poppleton
Harper 2010,2/1/2009,February,2009,0.19,0.48,5.8,0,1.45,0,8.64,Poppleton
Harper 2010,3/1/2009,March,2009,1.36,3.45,9.78,0,1.61,0,9.41,Poppleton
Harper 2010,4/1/2009,April,2009,0.35,0.89,1.05,0,2.6,0,8.68,Poppleton
Harper 2010,5/1/2009,May,2009,7.59,19.3,27.21,0,2.11,0,8.9,Poppleton
Harper 2010,6/1/2009,June,2009,2.43,6.17,0.42,0,2.23,0,9.33,Poppleton
